Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
2,65,3.188515,3.241932,182.688477,185.749023
3,65,3.187197,3.243250,182.612961,185.824539
4,65,3.185518,3.244929,182.516754,185.920761
1,66,3.239767,3.288855,185.625000,188.437500
2,66,3.237603,3.291019,185.500992,188.561508
3,66,3.236285,3.292337,185.425461,188.637039
4,66,3.234606,3.294017,185.329239,188.733246
1,67,3.288855,3.337942,188.437500,191.250000
2,67,3.286690,3.340107,188.313477,191.374023
3,67,3.285372,3.341425,188.237946,191.449539
4,67,3.283693,3.343104,188.141754,191.545761
1,68,3.337942,3.387030,191.250000,194.062500
2,68,3.335778,3.389194,191.125992,194.186508
3,68,3.334460,3.390512,191.050461,194.262039
4,68,3.332780,3.392191,190.954254,194.358246
1,69,3.387030,3.436117,194.062500,196.875000
2,69,3.384865,3.438282,193.938477,196.999023
3,69,3.383547,3.439600,193.862946,197.074554
4,69,3.381868,3.441279,193.766739,197.170746
1,70,3.436117,3.485204,196.875000,199.687500
2,70,3.433953,3.487369,196.750992,199.811508
3,70,3.432634,3.488687,196.675461,199.887039
4,70,3.430955,3.490366,196.579254,199.983246
1,71,3.485204,3.534292,199.687500,202.500000
2,71,3.483040,3.536456,199.563477,202.624023
3,71,3.481722,3.537774,199.487961,202.699539
4,71,3.480042,3.539454,199.391739,202.795746
1,72,3.534292,3.583379,202.500000,205.312500
2,72,3.532127,3.585544,202.375977,205.436523
3,72,3.530809,3.586862,202.300446,205.512039
4,72,3.529130,3.588541,202.204254,205.608261
1,73,3.583379,3.632467,205.312500,208.125000
2,73,3.581215,3.634631,205.188492,208.249008
3,73,3.579896,3.635949,205.112961,208.324539
4,73,3.578217,3.637628,205.016754,208.420746
1,74,3.632467,3.681554,208.125000,210.937500
2,74,3.630302,3.683718,208.000977,211.061523
3,74,3.628984,3.685037,207.925446,211.137054
4,74,3.627305,3.686716,207.829254,211.233246
1,75,3.681554,3.730641,210.937500,213.750000
2,75,3.679389,3.732806,210.813492,213.874008
3,75,3.678071,3.734124,210.737961,213.949539
4,75,3.676392,3.735803,210.641754,214.045746
1,76,3.730641,3.779729,213.750000,216.562500
2,76,3.728477,3.781893,213.625977,216.686523
3,76,3.727159,3.783211,213.550461,216.762054
4,76,3.725479,3.784890,213.454239,216.858246
1,77,3.779729,3.828816,216.562500,219.375000
2,77,3.777564,3.830981,216.438477,219.499023
3,77,3.776246,3.832299,216.362961,219.574539
