global_patch_index,wedge_index,column_index,patch_in_column,is_rectangular,corner_code,corner_index,z1_mm,zL_mm
53,34,0,0,0,6,4,47.350,190.308
53,34,0,0,0,6,5,240.815,61.190
54,35,0,0,0,6,0,297.779,16.016
54,35,0,0,0,6,1,297.779,425.600
54,35,0,0,0,6,2,232.137,469.102
54,35,0,0,0,6,3,40.470,469.102
54,35,0,0,0,6,4,40.470,379.062
54,35,0,0,0,6,5,184.894,16.016
55,36,0,0,0,5,0,294.839,168.369
55,36,0,0,0,5,1,294.839,362.078
55,36,0,0,0,5,2,249.616,473.282
55,36,0,0,0,5,3,93.779,473.282
55,36,0,0,0,5,4,93.779,302.731
56,37,0,0,1,40,0,295.206,191.113
56,37,0,0,1,40,1,295.206,449.442
56,37,0,0,1,40,2,68.735,449.442
56,37,0,0,1,40,3,68.735,191.113
57,37,0,1,1,40,0,295.206,60.624
57,37,0,1,1,40,1,295.206,191.113
57,37,0,1,1,40,2,68.735,191.113
57,37,0,1,1,40,3,68.735,60.624
58,37,0,2,0,7,0,295.206,-150.847
58,37,0,2,0,7,1,295.206,52.562
58,37,0,2,0,7,2,293.716,56.224
58,37,0,2,0,7,3,287.021,60.624
58,37,0,2,0,7,4,68.735,60.624
58,37,0,2,0,7,5,68.735,-44.555
58,37,0,2,0,7,6,230.476,-150.847
59,38,0,0,0,6,0,282.341,25.041
59,38,0,0,0,6,1,282.341,401.914
59,38,0,0,0,6,2,206.696,452.525
59,38,0,0,0,6,3,54.153,452.525
59,38,0,0,0,6,4,54.153,194.639
59,38,0,0,0,6,5,63.403,171.523
60,39,0,0,1,40,0,318.334,173.020
60,39,0,0,1,40,1,318.334,359.469
60,39,0,0,1,40,2,162.143,359.469
60,39,0,0,1,40,3,162.143,173.020
61,39,0,1,1,40,0,318.334,-49.766
61,39,0,1,1,40,1,318.334,173.020
61,39,0,1,1,40,2,162.143,173.020
61,39,0,1,1,40,3,162.143,-49.766
62,39,0,2,0,5,0,318.334,-308.336
62,39,0,2,0,5,1,318.334,-54.329
62,39,0,2,0,5,2,311.508,-49.766
62,39,0,2,0,5,3,162.143,-49.766
62,39,0,2,0,5,4,162.143,-203.913
63,40,0,0,0,6,0,318.989,-28.598
63,40,0,0,0,6,1,318.989,278.510
63,40,0,0,0,6,2,302.222,320.297
63,40,0,0,0,6,3,74.164,320.297
63,40,0,0,0,6,4,74.164,127.271
63,40,0,0,0,6,5,136.706,-28.598
64,41,0,0,1,40,0,249.446,159.339
64,41,0,0,1,40,1,249.446,447.844
64,41,0,0,1,40,2,45.095,447.844
64,41,0,0,1,40,3,45.095,159.339
65,41,0,1,0,7,0,249.446,-61.242
65,41,0,1,0,7,1,249.446,5.418
65,41,0,1,0,7,2,192.733,148.080
65,41,0,1,0,7,3,176.076,159.339
65,41,0,1,0,7,4,45.095,159.339
65,41,0,1,0,7,5,45.095,41.150
65,41,0,1,0,7,6,196.582,-61.242
66,42,0,0,1,40,0,296.902,153.612
66,42,0,0,1,40,1,296.902,448.071
66,42,0,0,1,40,2,59.468,448.071
66,42,0,0,1,40,3,59.468,153.612
67,42,0,1,0,6,0,296.902,-38.141
67,42,0,1,0,6,1,296.902,153.016
67,42,0,1,0,6,2,296.002,153.612
67,42,0,1,0,6,3,59.468,153.612
67,42,0,1,0,6,4,59.468,-27.812
67,42,0,1,0,6,5,75.064,-38.141
68,43,0,0,0,5,0,306.689,122.198
