Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
1,86,4.220320,4.271798,241.806520,244.755980
2,86,4.219002,4.273116,241.730992,244.831508
3,86,4.217323,4.274795,241.634786,244.927714
0,87,4.270603,4.319690,244.687500,247.500000
1,87,4.269407,4.320885,244.619020,247.568480
2,87,4.268089,4.322203,244.543492,247.644008
3,87,4.266410,4.323882,244.447286,247.740214
0,88,4.319690,4.368777,247.500000,250.312500
1,88,4.318495,4.369972,247.431520,250.380980
2,88,4.317176,4.371291,247.355992,250.456508
3,88,4.315497,4.372970,247.259786,250.552714
0,89,4.368777,4.417865,250.312500,253.125000
1,89,4.367582,4.419060,250.244020,253.193480
2,89,4.366264,4.420378,250.168492,253.269008
3,89,4.364585,4.422057,250.072286,253.365214
0,90,4.417865,4.466952,253.125000,255.937500
1,90,4.416669,4.468147,253.056520,256.005980
2,90,4.415351,4.469465,252.980992,256.081508
3,90,4.413672,4.471145,252.884786,256.177714
0,91,4.466952,4.516039,255.937500,258.750000
1,91,4.465757,4.517235,255.869020,258.818480
2,91,4.464439,4.518553,255.793492,258.894008
3,91,4.462760,4.520232,255.697286,258.990214
0,92,4.516039,4.565127,258.750000,261.562500
1,92,4.514844,4.566322,258.681520,261.630980
2,92,4.513526,4.567640,258.605992,261.706508
3,92,4.511847,4.569319,258.509786,261.802714
0,93,4.565127,4.614214,261.562500,264.375000
1,93,4.563932,4.615409,261.494020,264.443480
2,93,4.562613,4.616728,261.418492,264.519008
3,93,4.560934,4.618407,261.322286,264.615214
0,94,4.614214,4.663302,264.375000,267.187500
1,94,4.613019,4.664497,264.306520,267.255980
2,94,4.611701,4.665815,264.230992,267.331508
3,94,4.610022,4.667494,264.134786,267.427714
0,95,4.663302,4.712389,267.187500,270.000000
1,95,4.662106,4.713584,267.119020,270.068480
2,95,4.660788,4.714902,267.043492,270.144008
3,95,4.659109,4.716582,266.947286,270.240214
0,96,4.712389,4.761476,270.000000,272.812500
1,96,4.711194,4.762672,269.931520,272.880980
2,96,4.709876,4.763990,269.855992,272.956508
3,96,4.708196,4.765669,269.759786,273.052714
0,97,4.761476,4.810564,272.812500,275.625000
1,97,4.760281,4.811759,272.744020,275.693480
2,97,4.758963,4.813077,272.668492,275.769008
3,97,4.757284,4.814756,272.572286,275.865214
0,98,4.810564,4.859651,275.625000,278.437500
1,98,4.809369,4.860846,275.556520,278.505980
2,98,4.808050,4.862165,275.480992,278.581508
3,98,4.806371,4.863844,275.384786,278.677714
0,99,4.859651,4.908739,278.437500,281.250000
1,99,4.858456,4.909934,278.369020,281.318480
2,99,4.857138,4.911252,278.293492,281.394008
3,99,4.855459,4.912931,278.197286,281.490214
0,100,4.908739,4.957826,281.250000,284.062500
1,100,4.907543,4.959021,281.181520,284.130980
2,100,4.906225,4.960339,281.105992,284.206508
3,100,4.904546,4.962018,281.009786,284.302714
0,101,4.957826,5.006913,284.062500,286.875000
1,101,4.956631,5.008108,283.994020,286.943480
2,101,4.955312,5.009427,283.918492,287.019008
3,101,4.953633,5.011106,283.822286,287.115214
0,102,5.006913,5.056001,286.875000,289.687500
1,102,5.005718,5.057196,286.806520,289.755980
2,102,5.004400,5.058514,286.730992,289.831508
3,102,5.002721,5.060193,286.634786,289.927714
0,103,5.056001,5.105088,289.687500,292.500000
1,103,5.054805,5.106283,289.619020,292.568480
2,103,5.053487,5.107601,289.543492,292.644008
3,103,5.051808,5.109281,289.447286,292.740214
0,104,5.105088,5.154175,292.500000,295.312500
1,104,5.103893,5.155371,292.431520,295.380980
2,104,5.102575,5.156689,292.355992,295.456508
3,104,5.100896,5.158368,292.259786,295.552714
0,105,5.154175,5.203263,295.312500,298.125000
1,105,5.152980,5.204458,295.244020,298.193480
2,105,5.151662,5.205776,295.168492,298.269008
3,105,5.149983,5.207455,295.072286,298.365214
0,106,5.203263,5.252350,298.125000,300.937500
1,106,5.202068,5.253545,298.056520,301.005980
2,106,5.200749,5.254864,297.980992,301.081508
3,106,5.199070,5.256543,297.884786,301.177714
0,107,5.252350,5.301438,300.937500,303.750000
1,107,5.251155,5.302633,300.869020,303.818480
2,107,5.249837,5.303951,300.793492,303.894008
3,107,5.248158,5.305630,300.697286,303.990214
0,108,5.301438,5.350525,303.750000,306.562500
1,108,5.300242,5.351720,303.681520,306.630980
2,108,5.298924,5.353038,303.605992,306.706508
3,108,5.297245,5.354718,303.509786,306.802714
0,109,5.350525,5.399612,306.562500,309.375000
1,109,5.349330,5.400808,306.494020,309.443480
2,109,5.348012,5.402126,306.418492,309.519008
3,109,5.346332,5.403805,306.322286,309.615214
0,110,5.399612,5.448700,309.375000,312.187500
1,110,5.398417,5.449895,309.306520,312.255980
2,110,5.397099,5.451213,309.230992,312.331508
3,110,5.395420,5.452892,309.134786,312.427714
0,111,5.448700,5.497787,312.187500,315.000000
1,111,5.447505,5.498982,312.119020,315.068480
2,111,5.446186,5.500301,312.043492,315.144008
3,111,5.444507,5.501980,311.947286,315.240214
0,112,5.497787,5.546875,315.000000,317.812500
1,112,5.496592,5.548070,314.931520,317.880980
2,112,5.495274,5.549388,314.855992,317.956508
3,112,5.493595,5.551067,314.759786,318.052714
0,113,5.546875,5.595962,317.812500,320.625000
1,113,5.545679,5.597157,317.744020,320.693480
2,113,5.544361,5.598475,317.668492,320.769008
3,113,5.542682,5.600154,317.572286,320.865214
0,114,5.595962,5.645049,320.625000,323.437500
1,114,5.594767,5.646245,320.556520,323.505980
2,114,5.593449,5.647563,320.480992,323.581508
3,114,5.591769,5.649242,320.384786,323.677714
0,115,5.645049,5.694137,323.437500,326.250000
1,115,5.643854,5.695332,323.369020,326.318480
2,115,5.642536,5.696650,323.293492,326.394008
3,115,5.640857,5.698329,323.197286,326.490214
0,116,5.694137,5.743224,326.250000,329.062500
1,116,5.692941,5.744419,326.181520,329.130980
2,116,5.691623,5.745737,326.105992,329.206508
3,116,5.689944,5.747417,326.009786,329.302714
0,117,5.743224,5.792311,329.062500,331.875000
1,117,5.742029,5.793507,328.994020,331.943480
2,117,5.740711,5.794825,328.918492,332.019008
3,117,5.739032,5.796504,328.822286,332.115214
0,118,5.792311,5.841399,331.875000,334.687500
1,118,5.791116,5.842594,331.806520,334.755980
2,118,5.789798,5.843912,331.730992,334.831508
3,118,5.788119,5.845591,331.634786,334.927714
0,119,5.841399,5.890486,334.687500,337.500000
1,119,5.840204,5.891681,334.619020,337.568480
2,119,5.838885,5.893000,334.543492,337.644008
3,119,5.837206,5.894679,334.447286,337.740214
0,120,5.890486,5.939574,337.500000,340.312500
1,120,5.889291,5.940769,337.431520,340.380980
2,120,5.887973,5.942087,337.355992,340.456508
3,120,5.886294,5.943766,337.259786,340.552714
0,121,5.939574,5.988661,340.312500,343.125000
1,121,5.938378,5.989856,340.244020,343.193480
2,121,5.937060,5.991174,340.168492,343.269008
3,121,5.935381,5.992854,340.072286,343.365214
0,122,5.988661,6.037748,343.125000,345.937500
1,122,5.987466,6.038944,343.056520,346.005980
2,122,5.986148,6.040262,342.980992,346.081508
3,122,5.984468,6.041941,342.884786,346.177714
0,123,6.037748,6.086836,345.937500,348.750000
1,123,6.036553,6.088031,345.869020,348.818480
2,123,6.035235,6.089349,345.793492,348.894008
3,123,6.033556,6.091028,345.697286,348.990214
0,124,6.086836,6.135923,348.750000,351.562500
1,124,6.085641,6.137118,348.681520,351.630980
2,124,6.084322,6.138437,348.605992,351.706508
3,124,6.082643,6.140116,348.509786,351.802714
0,125,6.135923,6.185011,351.562500,354.375000
1,125,6.134728,6.186206,351.494020,354.443480
2,125,6.133410,6.187524,351.418492,354.519008
3,125,6.131731,6.189203,351.322286,354.615214
0,126,6.185011,6.234098,354.375000,357.187500
1,126,6.183815,6.235293,354.306520,357.255980
2,126,6.182497,6.236611,354.230992,357.331508
3,126,6.180818,6.238290,354.134786,357.427714
0,127,6.234098,6.283185,357.187500,360.000000
1,127,6.232903,6.284381,357.119020,360.068480
2,127,6.231585,6.285699,357.043492,360.144008
3,127,6.229905,6.287378,356.947286,360.240214
